att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,Class
0.46,0.93,0.27,0.39,0.79,0.44,0.99,0.08,0.1,0.28,22.5,B
0.06,0.43,0.5,0.28,0.57,0.71,0.05,0.23,0.59,0.76,25.79,B
0.28,0.73,0.45,0.56,0.68,0.53,0.31,0.99,0.06,0.89,31.46,A
0.75,0.18,0.48,0.27,0.47,0.94,0.8,0.58,0.27,0.14,25.74,A
0.06,0.26,0.29,0.73,0.62,0.72,0.29,0.07,0.52,0.14,20.44,B
0.06,0.22,0.63,0.04,0.64,0.18,0.06,0.52,0.77,0.58,24.16,B
0.42,0.65,0.12,0.07,0.65,0.31,0.64,0.84,0.31,0.85,30.02,A
0.82,0.44,0.51,0.72,0.97,0.83,0.46,0.35,0.58,0.05,27.67,A
0.19,0.72,0.87,0.09,0.77,0.7,0.04,0.12,0.58,0.59,24.96,B
0.44,0.86,0.11,0.73,0.08,0.09,0.92,0.2,0.47,0.64,25.02,B
0.31,0.89,0.28,0.1,0.05,0.13,0.46,0.7,0.77,0.54,25.49,B
0.24,0.88,0.38,0.14,0.4,0.2,0.37,0.28,0.62,0.85,25.75,B
0.1,0.18,0.13,0.07,0.12,0.02,0.47,0.35,0.15,0.35,12.77,B
0.23,0.17,0.13,0.75,0.69,0.17,0.18,0.69,0.2,0.39,20.93,B
0.38,0.23,0.81,0.28,0.55,0.69,0.04,0.85,0.2,0.24,22.62,B
0.75,0.06,0.1,0.51,0.71,0.88,0.13,0.77,0.7,0.83,33.73,A
0.1,0.79,0.42,0.3,0.47,0.14,0.91,0.21,0.23,0.95,26.83,B
0.56,0.92,0.24,0.15,0.77,0.11,0.68,0.14,0.08,0.49,19.72,B
0.27,0.48,0.96,0.02,0.45,0.3,0.49,0.16,0.9,0.06,21.68,B
0.91,0.88,0.62,0.16,0.23,0.75,0.98,0.86,0.17,0.52,31.29,A
0.83,0.39,0.96,0.32,0.84,0.39,0.86,0.65,0.17,0.52,30.26,A
0.74,0.87,0.13,0.71,0.55,0.83,0.14,0.66,0.94,0.15,29.73,A
0.3,0.47,0.01,0.39,0.81,0.38,0.11,0.8,0.89,0.33,27.56,B
0.93,0.15,0.11,0.36,0.14,0.83,0.49,0.89,0.07,0.29,22.79,B
0.64,0.11,0.55,0.14,0.37,0.03,0.66,0.32,0.34,0.78,23.05,B
0.98,0.78,0.01,0.2,0.4,0.82,0.58,0.35,0.62,0.55,28.21,B
0.32,0.52,0.62,0.92,0.26,0.83,0.56,0.45,0.62,0.45,30.74,A
0.95,0.3,0.16,0.22,0.24,0.37,0.42,0.02,0.42,0.37,16.97,B
0.02,0.86,0.98,0.73,0.55,0.58,0.51,0.9,0.22,0.68,33.44,A
0.01,0.42,0.32,0.77,0.3,0.35,0.3,0.44,0.03,0.43,18.69,B
0.02,0.09,0.59,0.18,0.31,0.99,0.65,0.61,0.6,0.58,30.94,B
0.03,0.03,0.73,0.44,0.3,0.94,0.37,0.4,0.05,0.46,22.02,B
0.94,0.34,0.87,0.05,0.23,0.28,0.88,0.21,0.98,0.17,25.59,B
0.23,0.42,0.95,0.6,0.93,0.85,0.1,0.17,0.65,0.98,33.76,A
0.59,0.51,0.41,0.34,0.38,0.51,0.17,0.92,0.38,0.24,23.46,A
0.02,0.63,0.82,0.74,0.47,0.41,0,0.13,0.22,0.45,19.05,B
0.87,0.65,0.15,0.46,0.2,0.84,0.09,0.7,0.98,0.87,34.39,A
0.39,0.79,0.6,0.65,0.57,0.09,0.03,0.95,0.63,0.54,28.57,A
0.94,0.47,0.93,0.47,0.53,0.62,0.5,0.44,0.5,0.92,33.6,A
0.26,0.6,0.11,0.89,0.63,0.82,0.21,0.73,0.08,0.35,24.91,B
0.35,0.29,0.46,0.59,0.56,0.7,0.4,0.15,0.79,0.57,28.37,A
0.71,0.31,0.76,0.69,0.81,0.77,0.36,0.96,0.65,0.64,37.47,A
0.2,0.95,0.77,0.48,0.22,0.11,0.08,0.23,0.31,0.88,22.13,B
0.04,0.53,0.88,0.56,0.15,0.98,0.8,0.29,0.24,0.38,26.47,B
0.42,0.79,0.52,0.19,0.64,0.53,0.16,0.36,0,0.1,15.67,B
0.57,0.22,0.74,0.41,0.42,0.11,0.81,0.92,0.91,0.08,29.67,A
0.89,0.61,0.24,0.86,0.46,0.44,0.87,0.37,0.65,0.88,34.85,A
0.92,0.45,0.28,0.53,0.43,0.2,0.38,0.98,0.22,0.08,21.46,B
0.86,0.65,0.02,0.24,0.59,0.85,0.59,0.77,0.27,0.5,29.05,A
0.6,0.5,0.1,0.48,0.54,0.41,0.3,0.63,0.23,0.95,27.64,A
0.84,0.26,0.4,0.68,0.38,0.53,0.93,0.61,0.31,0.57,30.23,A
0.09,0.75,0.28,0.36,0.02,0.14,0.2,0.75,0.06,0.22,14.97,B
0.68,0.74,0.5,0.84,0.99,0.26,0.19,0.58,0.81,0.95,36.39,A
0.38,0.01,0.46,0.17,0.72,0.09,0.16,0.6,0.82,0.48,24.72,B
0.21,0.66,0.06,0.54,0.46,0.88,0.48,0.87,0.07,0.22,24.64,B
0.17,0.35,0.78,0.77,0.27,0.48,0.4,0.36,0.13,0.07,18.04,B
0.21,0.49,0.55,0.34,0.01,0.44,0.68,0.47,0.11,0.98,26.26,B
0.35,0.26,0.7,0.29,0.05,0.9,0.35,0.85,0.56,0.93,33.3,A
0.33,0.58,0.96,0.01,0.19,0.43,0.07,0.8,0.78,0.08,22.7,B
0.22,0.75,0.47,0.45,0.21,0.21,0.35,0.97,0.03,0.92,26.86,B
0.56,0.35,0.28,0.19,0,0.98,0.06,0.25,0.25,0.84,21.92,B
0.58,0.43,0.11,0.23,0.11,0.84,0.41,0.61,0.56,0.11,22.17,B
0.11,0.89,0.06,0.06,0.76,0.89,0.65,0.73,0.52,0.85,34.99,A
0.47,0.21,1,0.02,0.03,0.17,0.76,0.08,0.63,0.73,24.11,B
0.41,0.8,0.63,0.42,0.81,0.42,0.37,0.42,0.61,0.89,32.45,A
0.25,0.47,0.25,0.48,0.15,0.25,0.94,0.79,0.76,0.85,34.3,A
0.32,0.44,0.89,0.82,0.95,0.52,0.79,0.54,0.08,0.51,30.64,A
0.91,0.65,0.77,0.15,0.41,0.66,0.69,0.59,0.78,0.66,34.34,A
0.98,0.57,0.29,0.8,0.89,0.47,0.29,0.1,0.78,1,33.27,A
0.61,0.03,0.45,0.87,0.85,0.93,0.5,0.4,0.74,0.34,32.16,A
0.97,0.99,0.75,0.73,0.51,0.34,0.12,0.22,0.8,0.78,30.33,A
0.45,0.57,0.96,0.21,0.09,0.85,0.1,0.45,0.46,0.48,24.29,B
0.41,0.64,0.29,0.57,0.82,0.43,0.31,0.92,0.38,0.73,31.73,A
0.76,0.79,0.37,0.84,0.27,0.39,0.49,0.59,0.59,0.53,29.29,A
0.85,0.47,0.92,0.19,0.97,0.96,0.15,0.88,1,0.68,39.83,A
0.38,0.52,0.83,0.49,0.16,0.12,0.04,0.79,0.23,0.71,23.17,B
0.6,0.32,0.57,0.69,0.16,0.91,0.87,0.21,0.74,0.14,27.84,A
0.76,0.62,0.79,0.04,0.62,0.37,0.65,0.03,0.48,0.27,21.66,B
0.11,0.6,0.42,0.18,0.07,0.91,0.9,0.5,0.02,0.38,23.38,B
0.63,0.51,0.8,0.17,0.25,0.81,0.12,0.07,0.43,0.69,22.99,B
0.9,0.87,0.1,0.07,0.03,0.48,0.84,0.27,0.38,0.22,19.85,B
0.63,0.05,0.91,0.17,0.64,0.81,0.67,0.26,0.61,0.08,25.24,B
0.74,0.52,0.05,0.14,0.66,0.01,0.65,0.08,0.4,0.67,21.3,B
0.32,0.72,0.08,0.76,0.4,0.98,0.99,0.19,0.32,0.64,30.53,A
0,0.53,0.28,0.39,0.15,0.81,0.75,0.72,0.37,0.82,31.62,B
0.08,0.78,0.89,0.75,0.31,0.3,0.09,0.87,0.14,0.61,25.62,B
0.14,0.65,0.15,0.93,0.17,0.62,0.44,0.24,0.08,0.96,25.46,B
0.56,0.63,0.87,0,0,0.02,0.06,0.84,0.91,0.68,26.7,B
0.48,1,0.38,0.4,0.29,0.37,0.38,0.93,0.09,0.76,27.4,A
0.33,0.59,0.27,0.87,0.65,0.53,0.11,0.51,0.59,0.2,24.39,A
0.96,0.85,0.47,0.51,0.34,0.02,0.18,0.16,0.11,0.28,14.28,B
0.71,0.44,0.5,0.65,0.17,0.84,0.78,0.08,0.99,0.48,31.46,A
0.28,0.73,0.29,0.46,0.92,0.41,0.57,0.76,0.72,0.76,35.59,A
0.48,0.17,0.58,0.18,0.55,0.66,0.32,0.55,0.56,0.7,28.62,A
0.67,0.8,0.45,0.39,0.86,0.69,0.48,0.07,0.3,0.96,29.79,A
0.73,0.4,0.78,0.35,0.26,0.78,0.81,0.47,0.16,0.7,29.07,A
0.15,0.38,0.41,0.5,0.6,0.66,0.61,0.72,0.4,0.5,29.79,A
0.64,0.62,0.58,0.02,0.58,0.91,0.6,0.78,0.39,0.75,33.43,A
0.83,1,0.26,0.53,0.61,0.77,0.96,0.87,0.3,0.9,38.76,A
0.04,0.11,0.19,0.84,0.13,0.92,0,0.78,0.47,0.35,24.32,B
0.02,0.12,0.42,0.94,0.01,0.47,0.75,0.3,0.2,0.58,23.34,B
0.1,0.45,0.86,0.53,0.69,0.01,0.46,0.74,0.45,0.1,23.46,B
0.56,0.89,0.41,0.05,0.34,0.1,0.65,0.93,0.92,0.14,27.73,B
0.68,0.27,0.87,0.3,0.22,0.55,1,0.92,0.27,0.34,29.62,A
0,0.6,0.8,0.81,0.53,0.42,0.83,0.59,0.72,0.65,35.54,B
0.95,0.57,0.22,0.79,0.54,0.97,0.46,0.9,0.24,0.33,30.28,A
0.62,0.92,0.15,0,0.97,0.41,0.35,0.05,0.6,0.27,21.3,B
0.44,0.99,0.92,0.39,0.47,0.29,0.48,0.81,0.12,0.1,22.66,A
0.65,0.22,0.05,0.7,0.93,0.75,0.07,0.14,0.91,0.08,23.77,B
0.54,0.68,0.62,0.17,0.02,0.58,0.66,0.8,0.99,0.94,37.35,A
0.56,0.67,0.38,0.28,0,0.45,0.75,1,0.95,0.51,33.77,B
0.32,0.86,0.44,0.97,0.84,0.24,0.43,0.67,0.69,0.25,29.96,A
0.77,0.85,0.79,0.25,0.95,0.46,0.37,0.8,0.07,0.59,28.85,A
0.02,0.58,0.16,0.1,0.58,0.1,0.33,0.43,0.49,0.72,22.87,B
0.33,0.13,0.96,0.25,0.86,0.03,0.43,0.34,0.64,0.11,21.56,B
0.95,0.89,0.85,0.44,0.91,0.26,0.91,0.51,0.54,0.07,29.2,A
0.01,0.06,0.67,0.99,0.62,0.01,0.45,0.6,0.26,0.53,24.76,B
0.69,0.44,0.44,0.8,0.09,0.9,0.22,0.42,0.83,0.6,30.27,A
0.17,0.96,0.42,0.21,0.84,0.2,0.01,0.86,0.14,0.15,19.23,B
0.76,0.09,0.17,0.04,0.91,0.79,0.11,0.47,0.15,0.35,20.26,B
0.27,0.86,0.26,0.73,0.77,0.13,0.08,0.14,0.78,0.57,24.71,B
0.6,0.79,0.88,0.26,0.31,0.17,0.93,0.17,0.46,0.8,28.47,A
0.88,0.82,0.17,0.14,0.4,0.19,0.52,0.31,0.06,0.85,21.91,B
